timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788744764017,110,GET Request,200,OK,Grupo GET Request 1-1,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,106,0,14
1788744764041,86,GET Request,200,OK,Grupo GET Request 1-2,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,82,0,1
1788744764128,46,GET Request,200,OK,Grupo GET Request 1-1,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,46,0,0
1788744764128,47,GET Request,200,OK,Grupo GET Request 1-2,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,47,0,0
1788744764151,54,GET Request,200,OK,Grupo GET Request 1-3,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,54,0,1
1788744764174,39,GET Request,200,OK,Grupo GET Request 1-1,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,39,0,0
1788744764176,38,GET Request,200,OK,Grupo GET Request 1-2,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744764205,38,GET Request,200,OK,Grupo GET Request 1-3,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,38,0,0
1788744764214,35,GET Request,200,OK,Grupo GET Request 1-1,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,0
1788744764214,36,GET Request,200,OK,Grupo GET Request 1-2,text,true,,984,221,3,3,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764244,36,GET Request,200,OK,Grupo GET Request 1-3,text,true,,984,221,4,4,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764249,36,GET Request,200,OK,Grupo GET Request 1-1,text,true,,984,221,4,4,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764250,37,GET Request,200,OK,Grupo GET Request 1-2,text,true,,984,221,4,4,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,37,0,0
1788744764280,37,GET Request,200,OK,Grupo GET Request 1-3,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,37,0,0
1788744764264,54,GET Request,200,OK,Grupo GET Request 1-4,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,54,0,1
1788744764317,37,GET Request,200,OK,Grupo GET Request 1-3,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,37,0,0
1788744764318,36,GET Request,200,OK,Grupo GET Request 1-4,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764354,35,GET Request,200,OK,Grupo GET Request 1-4,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,0
1788744764374,36,GET Request,200,OK,Grupo GET Request 1-5,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,1
1788744764390,34,GET Request,200,OK,Grupo GET Request 1-4,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,33,0,0
1788744764410,34,GET Request,200,OK,Grupo GET Request 1-5,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764424,34,GET Request,200,OK,Grupo GET Request 1-4,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764445,46,GET Request,200,OK,Grupo GET Request 1-5,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,46,0,0
1788744764491,36,GET Request,200,OK,Grupo GET Request 1-5,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764492,37,GET Request,200,OK,Grupo GET Request 1-6,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,37,0,0
1788744764528,34,GET Request,200,OK,Grupo GET Request 1-5,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764529,34,GET Request,200,OK,Grupo GET Request 1-6,text,true,,984,221,1,1,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764564,34,GET Request,200,OK,Grupo GET Request 1-6,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764597,36,GET Request,200,OK,Grupo GET Request 1-7,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,36,0,0
1788744764599,34,GET Request,200,OK,Grupo GET Request 1-6,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764633,34,GET Request,200,OK,Grupo GET Request 1-7,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764633,35,GET Request,200,OK,Grupo GET Request 1-6,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,0
1788744764668,35,GET Request,200,OK,Grupo GET Request 1-7,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,0
1788744764703,34,GET Request,200,OK,Grupo GET Request 1-7,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764703,35,GET Request,200,OK,Grupo GET Request 1-8,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,1
1788744764738,34,GET Request,200,OK,Grupo GET Request 1-7,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764739,34,GET Request,200,OK,Grupo GET Request 1-8,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764773,35,GET Request,200,OK,Grupo GET Request 1-8,text,true,,984,221,1,1,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,0
1788744764808,34,GET Request,200,OK,Grupo GET Request 1-8,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764818,35,GET Request,200,OK,Grupo GET Request 1-9,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,35,0,1
1788744764843,34,GET Request,200,OK,Grupo GET Request 1-8,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764853,34,GET Request,200,OK,Grupo GET Request 1-9,text,true,,984,221,1,1,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764888,34,GET Request,200,OK,Grupo GET Request 1-9,text,true,,984,221,1,1,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764923,34,GET Request,200,OK,Grupo GET Request 1-9,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
1788744764927,34,GET Request,200,OK,Grupo GET Request 1-10,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,1
1788744764958,34,GET Request,200,OK,Grupo GET Request 1-9,text,true,,984,221,2,2,http://localhost:3000/logistics/tenderos/productos-disponibles?tiendaId=bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb&zona=Zona%20Norte,34,0,0
